"Date","y*(t)","y*(t-1)","y*(t-2)","g(t)","g(t-1)","g(t-2)","z(t)","z(t-1)","z(t-2)"
1978-01-01,873.068468436401,872.813196446367,872.633558618429,0.836958188369339,0.829596379129866,0.82377339528757,-0.589584576765412,-0.584403714032705,-0.582858414879103
1978-04-01,875.490724257063,873.068468436401,872.813196446367,0.834615167138755,0.83695818836934,0.829596379129866,-0.597935391492184,-0.589584576765415,-0.584403714032708
1978-07-01,876.072225756897,875.490724257063,873.068468436401,0.833568563087285,0.834615167138755,0.83695818836934,-0.606392488030685,-0.597935391492182,-0.589584576765413
1978-10-01,877.200172613136,876.072225756897,875.490724257063,0.831028084524118,0.833568563087285,0.834615167138755,-0.614692353398722,-0.606392488030676,-0.597935391492173
1979-01-01,877.754123416075,877.200172613136,876.072225756897,0.830296088178792,0.831028084524118,0.833568563087284,-0.622166491518799,-0.61469235339872,-0.606392488030691
1979-04-01,878.412409071193,877.754123416075,877.200172613136,0.830365308254555,0.830296088178792,0.831028084524118,-0.629905952063928,-0.622166491518801,-0.614692353398722
1979-07-01,879.504178701736,878.412409071193,877.754123416075,0.828990322680694,0.830365308254556,0.830296088178793,-0.637790508843075,-0.629905952063928,-0.622166491518801
1979-10-01,880.314337070443,879.504178701736,878.412409071193,0.82809992331017,0.828990322680694,0.830365308254556,-0.64474379363148,-0.637790508843093,-0.629905952063946
1980-01-01,881.475636350318,880.314337070443,879.504178701736,0.826775306526685,0.82809992331017,0.828990322680694,-0.648478309487755,-0.644743793631479,-0.637790508843101
1980-04-01,881.201898958657,881.475636350318,880.314337070443,0.832188151882986,0.826775306526685,0.82809992331017,-0.650011340435755,-0.648478309487756,-0.644743793631457
1980-07-01,881.996898155755,881.201898958657,881.475636350318,0.836885402269616,0.832188151882986,0.826775306526685,-0.653752452679048,-0.650011340435757,-0.648478309487748
1980-10-01,883.546273079961,881.996898155755,881.201898958657,0.836715299676421,0.836885402269615,0.832188151882985,-0.660141811291573,-0.65375245267905,-0.650011340435749
1981-01-01,885.11744979604,883.546273079961,881.996898155755,0.832915584262958,0.836715299676421,0.836885402269615,-0.665902860129113,-0.660141811291558,-0.653752452679034
1981-04-01,885.169954163111,885.11744979604,883.546273079961,0.833470239604706,0.832915584262958,0.836715299676421,-0.671127267658577,-0.665902860129107,-0.660141811291562
1981-07-01,886.838884257744,885.169954163111,885.11744979604,0.830034867404967,0.833470239604706,0.832915584262958,-0.675301329776478,-0.671127267658551,-0.665902860129081
1981-10-01,887.218596664375,886.838884257744,885.169954163111,0.830590042929096,0.830034867404967,0.833470239604706,-0.675589502865904,-0.675301329776489,-0.671127267658563
1982-01-01,887.278470421204,887.218596664375,886.838884257744,0.835947760516895,0.830590042929096,0.830034867404967,-0.674132346940788,-0.675589502865901,-0.675301329776486
1982-04-01,888.47855982976,887.278470421204,887.218596664375,0.839843635771286,0.835947760516896,0.830590042929097,-0.671546534112781,-0.674132346940796,-0.675589502865913
1982-07-01,889.00043538251,888.47855982976,887.278470421204,0.846185565893808,0.839843635771286,0.835947760516896,-0.667116185579496,-0.671546534112787,-0.674132346940798
1982-10-01,889.594408142366,889.00043538251,888.47855982976,0.853843285458779,0.846185565893809,0.839843635771286,-0.662733699651026,-0.667116185579494,-0.671546534112789
1983-01-01,890.603799035896,889.594408142366,889.00043538251,0.859923684395341,0.85384328545878,0.846185565893809,-0.660174814431878,-0.662733699651032,-0.667116185579501
1983-04-01,891.898709877694,890.603799035896,889.594408142366,0.862966476651039,0.859923684395341,0.85384328545878,-0.659392441453504,-0.660174814431874,-0.662733699651035
1983-07-01,892.918444534009,891.898709877694,890.603799035896,0.864556269509453,0.862966476651039,0.859923684395341,-0.660117203385482,-0.659392441453504,-0.660174814431874
1983-10-01,894.018586170531,892.918444534009,891.898709877694,0.864164060591048,0.864556269509453,0.862966476651039,-0.662619224586641,-0.660117203385481,-0.659392441453509
1984-01-01,895.126944128218,894.018586170531,892.918444534009,0.861866680298224,0.864164060591048,0.864556269509453,-0.666602289110787,-0.662619224586642,-0.660117203385484
1984-04-01,896.256588876236,895.126944128218,894.018586170531,0.857883458452135,0.861866680298224,0.864164060591048,-0.671233477385363,-0.666602289110795,-0.662619224586644
1984-07-01,897.048425682948,896.256588876236,895.126944128218,0.854126746039235,0.857883458452135,0.861866680298224,-0.676162861909672,-0.671233477385363,-0.666602289110796
1984-10-01,897.885873324143,897.048425682948,896.256588876236,0.850163642984967,0.854126746039235,0.857883458452135,-0.681805378084522,-0.676162861909669,-0.67123347738536
1985-01-01,898.864644652994,897.885873324143,897.048425682948,0.845204630986627,0.850163642984967,0.854126746039235,-0.688209821617237,-0.68180537808452,-0.676162861909669
1985-04-01,899.657890580408,898.864644652994,897.885873324143,0.840069640765285,0.845204630986627,0.850163642984967,-0.69570586319915,-0.688209821617225,-0.681805378084509
