Date,gdp.log,real.rate,interest.rate,inflation,inflation.expectations,inflation.long
1967-04-01,3.3669879152146,1.46710981482363,4.66788472403135,5.26880235522129,3.20077490920772,5.10780939391853
1967-07-01,3.37082669152177,0.950162006345315,4.84488103540479,4.77038053039573,3.89471902905948,4.46643871385158
1967-10-01,3.37465078796017,2.01394358000016,5.91314467253592,2.66712402307606,3.89920109253576,3.2153156405975
1968-01-01,3.38225538734539,3.12217756615618,7.53592646619541,4.94868869146383,4.41374890003923,4.90894146552955
1968-04-01,3.40842510507877,4.43913060260197,7.89989862623934,1.45687884961389,3.46076802363738,1.27123422853093
1968-07-01,3.42307738186565,2.87908956990571,6.6313438899104,5.936325715865,3.75225432000469,5.52079764834005
1968-10-01,3.43751806602044,2.17449594047727,6.45134004535479,4.76548316256737,4.27684410487752,5.45345912538908
1969-01-01,3.44821335513719,3.2820491231807,6.99226271578333,2.68216664236424,3.71021359260262,2.57072907275385
1969-04-01,3.45528052236028,2.3103139501053,7.53592646619541,7.51847454356382,5.22561251609011,7.46184850433347
1969-07-01,3.4657884999587,3.81899775727087,8.44816165962681,3.55053126092834,4.62916390235594,2.94319834743939
1969-10-01,3.47962955137057,4.17777589342428,8.44816165962681,3.33037061795371,4.27038576620253,4.09647076369808
1970-01-01,3.48647889321614,3.54607861039904,8.44816165962681,5.20895577446521,4.90208304922777,5.11441014436501
1970-04-01,3.48647889321614,4.55988170565558,7.89989862623934,1.27021002898779,3.34001692058376,1.26663585482781
1970-07-01,3.49666573852313,4.20446791246275,7.17317871886238,2.06530680419185,2.96871080639964,1.34579442645404
1970-10-01,3.49666573852313,4.46454367707171,6.45134004535479,-0.597287134512515,1.98679636828308,0.220488835257801
1971-01-01,3.49328164053889,4.42097854661281,5.73434990888551,2.51525575042366,1.3133713622727,2.3860819460119
1971-04-01,3.52003908970844,3.35124526321882,5.46672198534599,4.4786314684057,2.11547672212717,4.54853440311978
1971-07-01,3.54930947200856,2.42133772313472,5.46672198534599,5.78493696452825,3.04538426221127,5.04120293624947
1971-10-01,3.55887892302471,0.768371372243282,4.93349109135424,3.8816546930862,4.16511971911095,4.61755621092236
1972-01-01,3.55569927010733,0.0102968146289433,4.93349109135424,5.54755398088102,4.92319427672529,5.510286726455
1972-04-01,3.58395860742173,0.375161324001303,4.93349109135424,3.01917343091626,4.55832976735293,3.08446832784147
1972-07-01,3.5870497999914,-0.00239024911705421,4.93349109135424,7.29514325700168,4.93588134047129,6.56758051467201
1972-10-01,3.60842465957614,-0.11452798341646,4.93349109135424,4.33020563028383,5.0480190747707,4.92944193203879
1973-01-01,3.63525190180928,-0.64483447398816,4.93349109135424,7.66877994316782,5.5783255653424,7.73552941234689
1973-04-01,3.64694794157247,-0.821806134996582,6.00265508849664,8.00371606351958,6.82446122349323,8.10793650996338
