"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"xi.tT",867.762838245795,866.445445366849,865.82479305032,0.798133048367486,0.797565369455274,0.794462524378203,-0.562824713369226,-0.55667348631482,-0.549995886733588
"xi.tT",868.227381840646,867.762838245795,866.445445366849,0.801346456915367,0.798133048367486,0.797565369455274,-0.56684840732043,-0.562824713369238,-0.556673486314833
"xi.tT",868.746988683474,868.227381840646,867.762838245795,0.806620879619936,0.801346456915367,0.798133048367485,-0.569495051525171,-0.566848407320421,-0.562824713369228
"xi.tT",869.387198905112,868.746988683474,868.227381840646,0.812862588461029,0.806620879619936,0.801346456915367,-0.571933418436629,-0.569495051525176,-0.566848407320426
"xi.tT",870.205640865496,869.387198905112,868.746988683474,0.818635895658114,0.812862588461029,0.806620879619936,-0.575433707403806,-0.571933418436624,-0.569495051525171
"xi.tT",871.41416128512,870.205640865496,869.387198905112,0.821955227144001,0.818635895658115,0.812862588461029,-0.579876193941966,-0.5754337074038,-0.571933418436625
"xi.tT",872.633558566854,871.41416128512,870.205640865496,0.823773395517799,0.821955227144001,0.818635895658115,-0.582858473601463,-0.579876193941966,-0.575433707403793
"xi.tT",872.813196401266,872.633558566854,871.41416128512,0.829596379347625,0.823773395517799,0.821955227144001,-0.584403772924509,-0.582858473601481,-0.579876193941977
"xi.tT",873.06846839693,872.813196401266,872.633558566854,0.836958188509894,0.829596379347624,0.823773395517799,-0.589584636004928,-0.584403772924506,-0.582858473601472
"xi.tT",875.490724208506,873.06846839693,872.813196401266,0.834615167264718,0.836958188509894,0.829596379347625,-0.597935451245635,-0.589584636004914,-0.584403772924498
"xi.tT",876.072225711019,875.490724208506,873.06846839693,0.83356856317897,0.834615167264718,0.836958188509894,-0.606392548302077,-0.597935451245631,-0.589584636004925
"xi.tT",877.20017256699,876.072225711019,875.490724208506,0.831028084593086,0.833568563178969,0.834615167264717,-0.614692414176242,-0.606392548302078,-0.597935451245639
"xi.tT",877.754123372789,877.20017256699,876.072225711019,0.830296088214999,0.831028084593086,0.83356856317897,-0.62216655274684,-0.614692414176252,-0.606392548302095
"xi.tT",878.412409029471,877.754123372789,877.20017256699,0.830365308248711,0.830296088214999,0.831028084593086,-0.629906013744568,-0.62216655274684,-0.614692414176257
"xi.tT",879.504178657701,878.412409029471,877.754123372789,0.828990322653316,0.83036530824871,0.830296088214999,-0.637790570976183,-0.629906013744547,-0.622166552746837
"xi.tT",880.314337025,879.504178657701,878.412409029471,0.828099923275028,0.828990322653316,0.83036530824871,-0.644743856168522,-0.637790570976178,-0.62990601374455
"xi.tT",881.475636301992,880.314337025,879.504178657701,0.826775306535483,0.828099923275028,0.828990322653316,-0.648478372249513,-0.644743856168531,-0.637790570976187
"xi.tT",881.201898917637,881.475636301992,880.314337025,0.832188151899604,0.826775306535483,0.828099923275028,-0.650011403277648,-0.648478372249506,-0.644743856168524
"xi.tT",881.996898114833,881.201898917637,881.475636301992,0.836885402285336,0.832188151899604,0.826775306535483,-0.653752515694383,-0.65001140327766,-0.648478372249529
"xi.tT",883.546273032954,881.996898114833,881.201898917637,0.836715299721522,0.836885402285335,0.832188151899604,-0.660141874616576,-0.653752515694368,-0.650011403277654
"xi.tT",885.117449744582,883.546273032954,881.996898114833,0.832915584382855,0.836715299721522,0.836885402285335,-0.665902923732391,-0.660141874616559,-0.653752515694351
"xi.tT",885.169954118191,885.117449744582,883.546273032954,0.83347023974814,0.832915584382855,0.836715299721522,-0.671127331518684,-0.665902923732382,-0.660141874616572
"xi.tT",886.838884208307,885.169954118191,885.117449744582,0.830034867620091,0.83347023974814,0.832915584382855,-0.67530139384888,-0.671127331518679,-0.665902923732377
"xi.tT",887.218596618208,886.838884208307,885.169954118191,0.830590043221576,0.830034867620091,0.83347023974814,-0.675589566939164,-0.67530139384886,-0.671127331518666
