Date,rstar,g,z,output gap,real rate gap,,,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
,5.51282548995288,4.84416267336394,0.00484227988905777,3.70588084690439,-2.23503150408891,,,lambda_z,0.0206092071958508,,,,,,,,,,,,,,,,,,
,5.24309530530289,4.57626001011056,0.0397268389273311,4.01641920247516,-2.08285991812942,,,,,,,,,,,,,,,,,,,,,,
,5.22712659749609,4.55231717586538,0.0509819751398251,3.85450091364953,-2.04846837948611,,,,,,,,,,,,,,,,,,,,,,
,5.20215899133346,4.5220057965033,0.0604794726200182,3.68996965360896,-2.39532117254002,,,State vector: [y_{t}* y_{t-1}* y_{t-2}* g_{t} g_{t-1} g_{t-2} z_{t} z_{t-1} z_{t-2}],,,,,,,,,,,,,,,,,,,
,5.15730738047985,4.53230405506759,0.00391837984152378,3.18066813167877,-3.1927959884732,,,Initial State Vector,,,,,,,,,,,,,,,,,,,
,4.91417823570961,4.33098148944212,-0.0102999322332444,2.85071060473035,-3.68627372279047,,,811.27211881791,810.111452336212,808.950880590638,1.16066648169806,1.16057174557351,1.16052441634675,0,0,0,,,,,,,,,,,
,4.93599433881205,4.32466574999705,0.0186973885879773,2.84324561810865,-3.89299180444774,,,,,,,,,,,,,,,,,,,,,,
,4.85822526785031,4.23950663831358,0.03775722056866,2.92180483046207,-3.65998512500148,,,Initial Covariance Matrix,,,,,,,,,,,,,,,,,,,
,5.09577275195308,4.41193450796825,0.0792481568128779,3.3441622380044,-3.82496941681906,,,0.643139875274746,0.2,0,0.2,0.2,0,0,0,0,,,,,,,,,,,
,5.16245886906876,4.458666383076,0.0927984895166028,3.7599322751372,-3.1055547416045,,,0.2,0.2,0,0,0,0,0,0,0,,,,,,,,,,,
,5.01843852813813,4.34957748088575,0.0728160643587193,3.78283037424626,-3.20834651831269,,,0,0,0.2,0,0,0,0,0,0,,,,,,,,,,,
,4.85502343255217,4.21469656991219,0.0627653050048034,3.591956720805,-3.22939856046982,,,0.2,0,0,0.201287524584176,0.2,0,0,0,0,,,,,,,,,,,
,4.98920798436078,4.35037367324689,0.0426802218841859,3.4819118155832,-2.62220318812188,,,0.2,0,0,0.2,0.2,0,0,0,0,,,,,,,,,,,
,4.78436415685375,4.17445779142265,0.0378589346603884,3.3843027254344,-0.518180648882239,,,0,0,0,0,0,0.2,0,0,0,,,,,,,,,,,
,4.73877987429669,4.15219248904403,0.0175910834326907,3.02184005037111,0.21359647922363,,,0,0,0,0,0,0,0.214321412786192,0.2,0,,,,,,,,,,,
,4.44700422344878,3.91299049417136,-0.00220349237475951,2.3861860059709,0.448272877509741,,,0,0,0,0,0,0,0.2,0.2,0,,,,,,,,,,,
,4.29942743805369,3.81347627501695,-0.0366291131157255,1.54762540521369,0.177686918754476,,,0,0,0,0,0,0,0,0,0.2,,,,,,,,,,,
,4.22376666734432,3.75365476085018,-0.0442707197613227,0.950906582387915,-0.420439918681702,,,,,,,,,,,,,,,,,,,,,,
,4.29500596767638,3.8210344082209,-0.0496444465801943,0.644666701548317,-1.73697850505015,,,,,,,,,,,,,,,,,,,,,,
,3.86728974261005,3.40449353869054,-0.00373906345941081,0.411030481461125,-2.77136884913363,,,,,,,,,,,,,,,,,,,,,,
,4.36833068929315,3.83464025465596,0.00820994945583067,0.561890745039136,-5.25812900180493,,,,,,,,,,,,,,,,,,,,,,
,4.09986639956218,3.63658060216853,-0.0350535544942873,0.803974351207216,-4.25670954761622,,,,,,,,,,,,,,,,,,,,,,
,3.94185694523277,3.56236970298713,-0.108682608276361,0.795576171244306,-2.96033680021544,,,,,,,,,,,,,,,,,,,,,,
,3.61893217421481,3.40546894404224,-0.253205702020632,0.349434177656804,-2.58845627965187,,,,,,,,,,,,,,,,,,,,,,
,3.86501655172703,3.56249328195734,-0.185663515414473,0.88770451353605,-3.79463100316383,,,,,,,,,,,,,,,,,,,,,,
,4.02934536017005,3.76447219041949,-0.250991824539708,1.25567933639877,-2.70902578588466,,,,,,,,,,,,,,,,,,,,,,
