Date,rstar,g,z,output gap,real rate gap,,,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g
,5.40902268924514,4.46358064023762,0.0614573774107361,4.17356361569477,-2.23036447123516,,,,,,,,,,,,,,,,,,,,,,
,5.39690767762436,4.44381275671353,0.0730251569708522,4.00441288782713,-2.59006985883093,,,State vector: [y_{t}* y_{t-1}* y_{t-2}* g_{t} g_{t-1} g_{t-2} z_{t} z_{t-1} z_{t-2}],,,,,,,,,,,,,,,,,,,
,5.32750870963944,4.45561438121868,-0.0105126746111803,3.46658967505073,-3.36299731763279,,,Initial State Vector,,,,,,,,,,,,,,,,,,,
,5.10452000687015,4.29168483597912,-0.0371065947242837,3.12523845041369,-3.87661549395101,,,811.272123802795,810.111457610493,808.950886153836,1.16066619230164,1.16057145665689,1.16052412759249,0,0,0,,,,,,,,,,,
,5.15152892499507,4.29692838121823,0.0036203263019512,3.0851897187946,-4.10852639063076,,,,,,,,,,,,,,,,,,,,,,
,5.1060751927299,4.23733662831742,0.0295601268008371,3.12468544132616,-3.90783504988107,,,Initial Covariance Matrix,,,,,,,,,,,,,,,,,,,
,5.35969420210412,4.39600975117335,0.0930817780012736,3.48189881535154,-4.0888908669701,,,0.721619444592939,0.2,0,0.2,0.2,0,0,0,0,,,,,,,,,,,
,5.43979933637688,4.44586829623311,0.113454189254175,3.84958719817621,-3.38289520891262,,,0.2,0.2,0,0,0,0,0,0,0,,,,,,,,,,,
,5.28989710890597,4.3485098313001,0.0801916714360783,3.90244912815183,-3.47980509908053,,,0,0,0.2,0,0,0,0,0,0,,,,,,,,,,,
,5.12043454002484,4.22381349312236,0.0601207829786997,3.77185443229803,-3.49480966794249,,,0.2,0,0,0.200907672786117,0.2,0,0,0,0,,,,,,,,,,,
,5.22244647700337,4.3348412567141,0.0291165911835132,3.64223880462544,-2.85544168076447,,,0.2,0,0,0.2,0.2,0,0,0,0,,,,,,,,,,,
,5.03806134906969,4.19046215305482,0.0177039597075297,3.54926553666644,-0.771877841098184,,,0,0,0,0,0,0.2,0,0,0,,,,,,,,,,,
,4.9738982779203,4.16493641718005,-0.0158781606929325,3.20564163590632,-0.021521924399984,,,0,0,0,0,0,0,0.224602368378305,0.2,0,,,,,,,,,,,
,4.69263085708253,3.95939008296282,-0.0508920609992054,2.61366129992098,0.202646243875987,,,0,0,0,0,0,0,0.2,0.2,0,,,,,,,,,,,
,4.53056997195606,3.87052423967562,-0.106487769561909,1.78762488165432,-0.0534556151478851,,,0,0,0,0,0,0,0,0,0.2,,,,,,,,,,,
,4.46440057791391,3.82684276102014,-0.120324836968807,1.14751849254435,-0.661073829251294,,,,,,,,,,,,,,,,,,,,,,
,4.53777372099212,3.89488804365364,-0.128472925917787,0.750817766740397,-1.97974625836589,,,,,,,,,,,,,,,,,,,,,,
,4.19678959472533,3.55496826034394,-0.0622182480624038,0.54110406147197,-3.10086870124891,,,,,,,,,,,,,,,,,,,,,,
,4.64897102527915,3.91555266894266,-0.042032748763495,0.578502251346436,-5.53876933779093,,,,,,,,,,,,,,,,,,,,,,
,4.40234948166424,3.76378350802026,-0.106828183303875,0.756133567891538,-4.55919262971828,,,,,,,,,,,,,,,,,,,,,,
,4.19702429225145,3.68713537058804,-0.2203255434501,0.774933151334039,-3.21550414723412,,,,,,,,,,,,,,,,,,,,,,
